id_localisation|pk_person|person|geographical_place|GP_type|lat|lon|localisation_type|begin|at_some_time|end|occours_before|occours_after|tag|original_begin|original_at_some_time|original_end|sequence
1732690|1732154|Simone di Antonio di Simone (da Folgaria, samiter)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1603.0|1603.0|1603.0|||abitazione_venezia||1603.0||0
1627775|1627744|Lazzaro di Alessio Grimani (da Zara, capitan)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1601.0|1601.0|1601.0|||abitazione_venezia||1601.0||0
1343078|1342954|Geremia Giovanni Doimovich (da Lesina, mariner)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1602.0|1602.0|1602.0|||abitazione_venezia||1602.0||1
1779988|1779858|Thomas di Alessandro Seget (da Edimburgo)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1600.0|1600.0|1600.0|||abitazione_venezia||1600.0||0
1067590|1067302|Caterina di Bartolomeo Ceschini (da Riva del Garda)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1598.0|1598.0|1598.0|||abitazione_venezia||1598.0||0
1147714|1147627|Domenico Agostino di Giacomo Antonio Plontida (da Melpignano)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1598.0|1598.0|1598.0|||abitazione_venezia||1598.0||2
942380|942203|Gregorio di Luca Muschi(da Gemona del Friuli)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1597.0|1597.0|1597.0|||abitazione_venezia||1597.0||0
1895945|1895832|Girolama di Domenico calegher (da Mestre), vedova di Matteo di Andrea Mistri|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1595.0|1595.0|1595.0|||abitazione_venezia||1595.0||0
2082368|2082354|Vincenza di Stefano Monari (da Venezia)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1650.0|1650.0|1650.0|||abitazione_venezia||1650.0||0
3141736|3141711|Innocenzo di Leonardo Petrelli (da Flaibano)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1620.0|1620.0|1620.0|||abitazione_venezia||1620.0||0
1912351|1912337|Berto di Antonio Ventura (genovese, mariner)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1601.0|1601.0|1601.0|||abitazione_venezia||1601.0||0
2105642|2105628|Cherubino Castioni (milanese, frate)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1620.0|1620.0|1620.0|||abitazione_venezia||1620.0||0
1076769|1076743|Matteo Dedesceo (da Zara, canonico)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1594.0|1594.0|1594.0|||abitazione_venezia||1594.0||0
1099133|1099114|Michele di Nicola (da Sciro)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1594.0||1594.0|||abitazione_venezia|1594.0|||1
1763160|1763092|Giorgio di Giovanni Girardini (dalla Val Trompia, savoner)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1603.0|1603.0|1603.0|||abitazione_venezia||1603.0||0
1888409|1888378|Marco Antonio Gonzaga (mantovano, medico)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1589.0||1595.0|||abitazione_venezia|1589.0|||1
1894616|1894594|Giovanni Marco di Vincenzo Lilli (da Ancona, mercante)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1595.0|1595.0|1595.0|||abitazione_venezia||1595.0||0
2117429|2117409|Domenico di Bernardo Legrini (da Bergamo, vender chiodi)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1639.0|1639.0|1639.0|||abitazione_venezia||1639.0||1
1894428|1894393|Francesco Ricciardi (da Pistoia, cavalier)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1595.0|1595.0|1595.0|||abitazione_venezia||1595.0||0
1894283|1894258|Valerio di Ercole Ercoli (da Roccabianca)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1595.0|1595.0|1595.0|||abitazione_venezia||1595.0||0
928518|779708|Pollato di Bachisio Armeno (da Angora, mercante di zambelotti)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione e luogo di lavoro   |1592.0|1592.0|1592.0|||abitazione_venezia||1592.0||0
928524|779721|Simone di Caciuch (da Angora, mercante di zambelotti)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione e luogo di lavoro   |1592.0|1592.0|1592.0|||abitazione_venezia||1592.0||0
1513833|1513321|Antonio di Domenico Gili (da Bergamo, vender vin)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1599.0||1602.0|||abitazione_venezia|1599.0|||1
1744720|1744706|Antonio di Giovanni (mariner)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1601.0|1601.0|1601.0|||abitazione_venezia||1601.0||0
1147738|1147658|Antonio Mugario (da Francavilla Fontana)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1598.0|1598.0|1598.0|||abitazione_venezia||1598.0||0
1790075|1790053|Gasparo di Luca Burca (dal Cadore)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1601.0|1601.0|1601.0|||abitazione_venezia||1601.0||0
1302048|1302027|Silvio di Giorgio Proseleno (da Corfù, barbier)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1596.0|1596.0|1596.0|||abitazione_venezia||1596.0||0
1810547|1074008|Natalina di Nicola Colla (da Montona)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1599.0||1594.0|||abitazione_venezia|1599.0|||1
1624161|1624106|Bartolomeo di Giulio Mazzoli (da Bovolenta, mariner)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1600.0|1600.0|1600.0|||abitazione_venezia||1600.0||0
1898549|1898515|Geronimo di Simone (da Lorena, curamer)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1595.0|1595.0|1595.0|||abitazione_venezia||1595.0||0
1898456|1898424|Nicolò di Simone curamer (da Lorena, forner)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1595.0|1595.0|1595.0|||abitazione_venezia||1595.0||0
1489548|1489491|Battista di Lorenzo Rosa (ferrarese, mariner)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1604.0|1604.0|1604.0|||abitazione_venezia||1604.0||1
1122545|1122525|Francesco di Simone Loppez (da Lisbona)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1594.0|1594.0|1594.0|||abitazione_venezia||1594.0||0
1086836|1086816|Pietro di Simone De Zuanne (cadorino, barcariol)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1592.0|1592.0|1592.0|||abitazione_venezia||1592.0||0
1543391|1536089|Giovanni Antonio di Giovanni Vallorsa (da Grosio, fachin)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1588.0||1627.0|||abitazione_venezia|1588.0|||0
1877340|1876734|Bartolomeo di Vincenzo Cristani (da Gorizia, passamaner)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1595.0|1595.0|1595.0|||abitazione_venezia||1595.0||0
1889505|1889481|Giovanna di Domenico Cesana (dalla contea di Cesana)|Venezia IT (209678)|Città|45.43713|12.33265|Abitazione|1580.0||1580.0|||arrivo_venezia|1580.0|||0
